family,layers,qubits,ionq_depth,ibm_depth,cnot_count,effective_dimension,expressibility_score,estimated_shots_per_eval
composition_encoding,1,6,5,8,5,2.296,0.498,1500
composition_encoding,2,6,8,12,10,4.188,0.715,3000
composition_encoding,3,6,11,16,15,7.088,0.881,4500
composition_encoding,4,6,14,20,20,9.564,0.943,6000
composition_encoding,5,6,17,24,25,9.787,0.947,7500
local_environment,2,8,14,18,16,5.479,0.807,4000
local_environment,3,8,19,24,24,9.077,0.934,6000
local_environment,4,8,24,30,32,11.747,0.971,8000
phase_aware,1,4,3,5,4,1.498,0.362,1000
