reaction_id,chemical_composition,surface_composition,facet,sites,reaction_energy_eV,publication_id,publication_title,publication_doi
UmVhY3Rpb246NDE2MTk2,In3Ta9,Ta3In,111,"{""H"": ""hollow"", ""N"": ""hollow""}",-5.007095859423487,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4OTk5,Ir3La9,La3Ir,111,"{""C"": ""hollow-tilt"", ""H"": ""hollow""}",-1.2468253367100033,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDI4,La9Rh3,La3Rh,111,"{""C"": ""hollow"", ""H"": ""hollow""}",-1.2682583829067653,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDU3,Co6La6,CoLa,101,"{""C"": ""bridge"", ""H"": ""hollow-tilt""}",-2.7461935402810695,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDg2,Fe3La9,La3Fe,111,"{""C"": ""hollow"", ""H"": ""hollow""}",-0.6600744295122922,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MTE1,La9Mn3,La3Mn,111,"{""C"": ""hollow"", ""H"": ""hollow""}",-2.3839180465059826,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MTQ0,Au3La9,La3Au,111,"{""C"": ""hollow"", ""H"": ""hollow""}",-2.0143806509062188,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MTcz,Ag3La9,La3Ag,111,"{""C"": ""hollow"", ""H"": ""hollow""}",-1.9067465657120692,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MjAy,La9Zn3,La3Zn,111,"{""C"": ""hollow"", ""H"": ""hollow""}",-1.153921590294317,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDE2MTk3,In3Ta9,Ta3In,111,"{""O"": ""hollow"", ""S"": ""hollow""}",-10.358132182160489,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4Njg3,La9Ti3,La3Ti,111,"{""O"": ""hollow"", ""S"": ""bridge-tilt""}",-11.643010734258723,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4OTEz,La9Re3,La3Re,111,"{""H"": ""hollow""}",-1.3193488447195136,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4OTQy,La9Tc3,La3Tc,111,"{""H"": ""hollow""}",-1.348641899514348,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4OTcx,La9Os3,La3Os,111,"{""H"": ""hollow""}",-1.3163240273187853,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDAw,Ir3La9,La3Ir,111,"{""H"": ""hollow""}",-1.318007595718825,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDI5,La9Rh3,La3Rh,111,"{""H"": ""hollow""}",-1.3604690553165142,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDU4,Co6La6,CoLa,101,"{""H"": ""hollow-tilt""}",-1.3315199525076764,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDg3,Fe3La9,La3Fe,111,"{""H"": ""hollow""}",-1.3632527799181275,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MTE2,La9Mn3,La3Mn,111,"{""H"": ""hollow""}",-1.3938182389155713,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MTQ1,Au3La9,La3Au,111,"{""H"": ""hollow""}",-1.5580778529164832,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MTc0,Ag3La9,La3Ag,111,"{""H"": ""hollow""}",-1.4748703389176967,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MjAz,La9Zn3,La3Zn,111,"{""H"": ""hollow""}",-1.3819826475136665,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDE2MTk4,In3Ta9,Ta3In,111,"{""C"": ""hollow"", ""H"": ""hollow""}",-5.50721878162642,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4OTE0,La9Re3,La3Re,111,"{""H"": ""hollow"", ""N"": ""hollow-tilt""}",-3.2760492530262013,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4OTQz,La9Tc3,La3Tc,111,"{""H"": ""hollow"", ""N"": ""hollow""}",-3.3215514490158853,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4OTcy,La9Os3,La3Os,111,"{""H"": ""hollow"", ""N"": ""hollow""}",-3.222398880524622,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDAx,Ir3La9,La3Ir,111,"{""H"": ""hollow"", ""N"": ""hollow""}",-3.4236749563253284,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDMw,La9Rh3,La3Rh,111,"{""H"": ""hollow"", ""N"": ""hollow""}",-3.5761974839198842,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDU5,Co6La6,CoLa,101,"{""H"": ""hollow-tilt"", ""N"": ""bridge""}",-2.770916987404405,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
