material_id,pretty_formula,spacegroup,band_gap,formation_energy_per_atom,e_above_hull
mp-1101185,V3OF11,,1.770399999999999,-2.8747079060000003,0.033240255833340004
mp-1101227,V2OF5,,1.7715,-3.004380444999999,0.042350357916667004
mp-1101248,V2OF6,,0.14149999999999902,-2.849323158888889,0.09330110479165901
mp-1176426,MnOF,,0.0337,-2.120080078477011,0.274667441944423
mp-1176457,Mn3OF5,,0.0,-2.72884982375479,0.047377427592586
mp-1176459,Mn3OF5,,0.0,-2.724341803199234,0.051885448148142006
mp-1176462,Mn3OF5,,0.0,-2.7233458243103463,0.052881427037030006
mp-1178250,Fe5OF11,,1.7294,-2.433673663529411,0.10223648169933701
mp-1178251,Fe5OF11,,1.2588,-2.444104868823529,0.09180527640522
mp-1178290,Fe4OF7,,2.0168,-2.417317114166666,0.057017917546294004
mp-1178312,Fe2OF3,,1.130299999999999,-2.262188923000001,0.095906462092586
mp-1178375,Cu6OF11,,0.0,-1.7021083633333332,0.017460828767359
mp-1178377,Fe10OF19,,1.9662000000000002,-2.514242911666668,0.029835908018518
mp-1178379,Fe10OF19,,2.0,-2.518032257666667,0.026046562018518002
mp-1178455,Co2OF3,,0.3538,-1.933711802,0.09066016800000001
mp-1181939,CoBrO,,0.0,-0.8366437316666661,0.082995019166665
mp-1219307,SiH2O,,0.0,-0.640415436875,0.6673871770833341
mp-1277718,Cr4OF11,,1.0593,-2.876017868750001,0.040448300583335005
mp-1302830,V4OF11,,2.0824,-3.130154428125,0.0033477827083330004
mp-1303638,V4OF11,,1.8285,-3.12999486125,0.0035073495833330003
mp-1332209,Fe5OF11,,0.30310000000000004,-1.572982125294117,0.9629280199346321
mp-1345203,Mn5OF11,,0.0,-1.159907740567951,1.610956596372549
mp-1346391,Fe5OF11,,0.4051,-1.832691932941176,0.7032182122875731
mp-1354560,Sn2N2O,,0.0,2.553167391999999,3.205048353
mp-1354978,Zr2N2O,,0.0,0.9280065420000001,3.265755750249997
mp-1355084,Zr2N2O,,0.0,0.8064898075000001,3.144239015749997
mp-1356710,Zr2N2O,,0.0,0.965229985249999,3.302979193499997
mp-1356724,Zr2N2O,,0.0,0.8418534067499991,3.179602614999996
mp-1357451,Ti2N2O,,0.0083,1.063910907916664,3.253995165999999
mp-1357473,Sn2N2O,,0.0,2.51011416375,3.161995124749999
mp-1358821,Zr2N2O,,0.0,0.946558666999999,3.284307875249997
mp-1359894,Ti2N2O,,0.0,0.8621038091666641,3.052188067249999
mp-1360063,Ti2N2O,,0.0,0.668726713666664,2.858810971749999
mp-1360261,Hf2N2O,,0.0,0.8845601160000001,3.41810151475
mp-1360299,Hf2N2O,,0.0,1.2512238537499991,3.784765252499999
mp-1362216,Hf2N2O,,0.0,0.9460142212500001,3.47955562
mp-1371307,Mn5OF11,,0.0032999999999990003,-2.04868344821501,0.722180888725491
mp-1376078,V2OF5,,0.007299999999999001,-0.86942992,2.177300882916667
mp-1379330,Ti2N2O,,0.0,0.9214102029166651,3.111494461
mp-1379904,Zr2N2O,,0.0,0.943814758249999,3.281563966499996
mp-1380148,Zr2N2O,,0.0,0.937416989249999,3.275166197499996
mp-1390750,Cr4OF11,,0.0,-1.664276035625,1.252190133708335
mp-1393057,V4OF11,,0.5842,-1.6829236,1.450578610833333
mp-1568829,Fe4OF6,,2.6285,-2.323658484545454,0.06526977727272601
mp-1574300,V2OF5,,1.848799999999999,-3.042618501666667,0.004112301249999
mp-2216570,MnOF,,0.14400000000000002,-2.337601927643678,0.05714559277775601
mp-2647151,H5C56O,,0.6288,-0.012399991794356,0.064775343810483
mp-2750216,V2OF5,,0.5253,-3.045915799583334,0.000815003333332
mp-36779,PNO,,5.0752,-1.462302387380951,0.017478005833333
mp-626542,H3NO,,0.28750000000000003,-0.07531710925,0.806157154333332
mp-626543,H3NO,,2.4233000000000002,-0.675640967249999,0.20583329633333403
mp-626690,TlHO,,1.5167000000000002,-0.960780840694447,0.086266863750001
mp-662619,InOF,,1.434,-2.360872441388888,0.014839850833334
mp-667198,TiBrO,,0.0,-1.332845298194444,1.224570529583328
mp-674947,Zr2N2O,,1.6661000000000001,-2.335520416749998,0.0022287915
mp-675093,Hf2N2O,,2.0512,-2.531268328249999,0.002273070500001
mp-675993,Zr2N2O,,1.6503,-2.337749208249997,0.0
mp-676414,Al4CO,,0.0,-0.5870419,0.41230998500000104
mp-677065,TaOF3,,2.153299999999999,-3.228940638666667,0.27946006137143
mp-685320,Li20B54O,,0.0,-0.265316613422221,0.044718160533332
mp-722212,Zr2N2O,,0.0,1.129874716749999,3.467623924999997
mp-752489,Co4OF11,,0.522699999999999,-1.9404592025,0.11180341109375001
mp-752513,Co3OF5,,0.8021,-2.047115233888889,0.083027770555554
mp-752784,MnOF,,0.055600000000000004,-2.318555868477011,0.07619165194442301
mp-752857,V3OF11,,1.8563,-2.85832173,0.049626431833341006
mp-752933,Cu6OF11,,0.0,-1.7017564461111112,0.017812745989582
mp-752996,MnOF,,0.0,-2.310016363060344,0.08473115736109
mp-754167,Mn5OF11,,0.0,-2.713741770567951,0.057122566372550004
mp-754178,Mn5OF11,,1.095899999999999,-2.7019066976267743,0.068957639313726
mp-754461,V4OF11,,1.5199,-3.129776695625001,0.003725515208333
mp-754560,Mn3OF5,,0.0,-2.722820667088123,0.053406584259253
mp-754609,V2OF5,,1.7573,-3.040355852083334,0.006374950833333001
mp-754653,Fe3OF5,,1.660299999999999,-2.373752961666666,0.061835521172840004
mp-754833,Hf2N2O,,1.066599999999999,-2.460453463,0.073087935749999
