iteration,request_id,candidate_id,composition,phase
2,FAST4X-I02-C01,FAST-005,Al0.25 Co0.25 Fe0.30 Ni0.20,FCC
2,FAST4X-I02-C02,FAST-006,Al0.20 Co0.25 Fe0.25 Ni0.30,FCC
2,FAST4X-I02-C03,FAST-007,Al0.30 Co0.25 Fe0.20 Ni0.25,FCC
2,FAST4X-I02-C04,FAST-008,Al0.25 Co0.30 Fe0.20 Ni0.25,FCC
